osu file format v14

[General]
AudioFilename: audio.mp3
AudioLeadIn: 0
PreviewTime: -1
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 0
LetterboxInBreaks: 0
WidescreenStoryboard: 0

[Editor]
DistanceSpacing: 0.8
BeatDivisor: 1
GridSize: 32
TimelineZoom: 1

[Metadata]
Title:MIRAI
TitleUnicode:MIRAI
Artist:MiraiKomachi
ArtistUnicode:MiraiKomachi
Creator:aguroshou
Version:Easy
Source:
Tags:
BeatmapID:0
BeatmapSetID:-1

[Difficulty]
HPDrainRate:5
CircleSize:5
OverallDifficulty:5
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
Video,629,"MIRAI_ダンスサンプル動画_左右反転.mp4"
//Break Periods
2,6867,8745
2,37686,39565
2,59982,65795
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples

[TimingPoints]
109.878748275246,655.737704918033,4,1,0,100,1,0


[Colours]
Combo1 : 0,0,0
Combo2 : 0,202,0
Combo3 : 18,124,255
Combo4 : 242,24,57
Combo5 : 255,192,0
Combo6 : 255,255,255

[HitObjects]
95,160,1421,5,0,0:0:0:0:
258,162,1759,1,0,0:0:0:0:
426,165,2077,1,0,0:0:0:0:
418,180,4044,1,0,0:0:0:0:
256,174,4387,1,0,0:0:0:0:
94,176,4700,1,0,0:0:0:0:
130,21,6011,1,0,0:0:0:0:
370,21,6011,1,0,0:0:0:0:
374,230,6667,1,0,0:0:0:0:
128,226,6667,1,0,0:0:0:0:
256,30,9945,5,0,0:0:0:0:
252,11,10601,1,2,0:0:0:0:
106,72,11257,1,0,0:0:0:0:
120,234,11913,1,0,0:0:0:0:
257,321,12568,1,0,0:0:0:0:
416,202,13224,1,0,0:0:0:0:
369,47,13880,1,0,0:0:0:0:
256,12,14536,1,0,0:0:0:0:
177,44,16181,1,0,0:0:0:0:
365,169,16187,1,0,0:0:0:0:
145,96,17482,1,0,0:0:0:0:
341,43,17495,1,0,0:0:0:0:
299,24,18797,1,0,0:0:0:0:
271,102,19126,1,0,0:0:0:0:
244,186,19477,1,0,0:0:0:0:
153,87,21749,1,0,0:0:0:0:
375,98,21749,1,0,0:0:0:0:
343,29,23716,1,0,0:0:0:0:
138,84,24372,1,0,0:0:0:0:
388,145,25027,1,0,0:0:0:0:
140,233,25683,1,0,0:0:0:0:
123,24,26995,1,0,0:0:0:0:
408,170,26995,1,0,0:0:0:0:
384,45,28306,1,0,0:0:0:0:
104,189,28306,1,0,0:0:0:0:
240,126,28962,1,0,0:0:0:0:
246,125,29618,1,0,0:0:0:0:
156,0,29964,1,0,0:0:0:0:
385,0,29965,1,0,0:0:0:0:
19,135,30273,1,0,0:0:0:0:
512,113,30273,1,0,0:0:0:0:
163,235,30612,1,0,0:0:0:0:
379,234,30612,1,0,0:0:0:0:
271,105,30929,1,0,0:0:0:0:
239,102,30929,1,0,0:0:0:0:
124,178,31585,1,0,0:0:0:0:
390,181,32241,1,0,0:0:0:0:
370,1,32896,1,0,0:0:0:0:
141,1,33552,1,0,0:0:0:0:
213,73,34863,1,0,0:0:0:0:
303,74,34863,1,0,0:0:0:0:
357,134,35815,1,0,0:0:0:0:
132,134,35816,1,0,0:0:0:0:
138,74,37486,1,0,0:0:0:0:
285,30,37486,1,0,0:0:0:0:
106,160,40765,5,0,0:0:0:0:
251,215,41103,5,0,0:0:0:0:
369,137,41421,1,0,0:0:0:0:
418,13,41759,1,0,0:0:0:0:
133,31,44700,5,0,0:0:0:0:
253,10,45355,1,0,0:0:0:0:
371,34,46011,1,0,0:0:0:0:
371,34,46667,1,0,0:0:0:0:
275,111,47322,1,0,0:0:0:0:
228,107,47978,1,0,0:0:0:0:
208,75,51257,1,0,0:0:0:0:
298,75,51257,1,0,0:0:0:0:
389,139,52899,1,0,0:0:0:0:
337,143,53224,1,0,0:0:0:0:
288,144,53563,1,0,0:0:0:0:
128,144,54536,1,0,0:0:0:0:
175,147,54881,1,0,0:0:0:0:
221,147,55191,1,0,0:0:0:0:
350,155,55847,1,0,0:0:0:0:
154,154,56503,1,0,0:0:0:0:
240,166,57159,1,0,0:0:0:0:
274,168,57159,1,0,0:0:0:0:
216,90,57814,1,0,0:0:0:0:
290,89,57814,1,0,0:0:0:0:
143,16,58470,1,0,0:0:0:0:
358,23,58470,1,0,0:0:0:0:
422,137,59126,1,0,0:0:0:0:
72,135,59126,1,0,0:0:0:0:
311,277,59782,1,0,0:0:0:0:
199,267,59782,1,0,0:0:0:0:
258,191,66995,5,0,0:0:0:0:
